gender,age,fare,class,who,alone,survived
male,22,7.25,Third,man,FALSE,0
female,38,71.2833,First,woman,FALSE,1
female,26,7.925,Third,woman,TRUE,1
female,35,53.1,First,woman,FALSE,1
male,35,8.05,Third,man,TRUE,0
male,,8.4583,Third,man,TRUE,0
male,54,51.8625,First,man,TRUE,0
male,2,21.075,Third,child,FALSE,0
female,27,11.1333,Third,woman,FALSE,1
female,14,30.0708,Second,child,FALSE,1
female,4,16.7,Third,child,FALSE,1
female,58,26.55,First,woman,TRUE,1
male,20,8.05,Third,man,TRUE,0
male,39,31.275,Third,man,FALSE,0
female,14,7.8542,Third,child,TRUE,0
female,55,16,Second,woman,TRUE,1
male,2,29.125,Third,child,FALSE,0
male,,13,Second,man,TRUE,1
female,31,18,Third,woman,FALSE,0
female,,7.225,Third,woman,TRUE,1
male,35,26,Second,man,TRUE,0
male,34,13,Second,man,TRUE,1
female,15,8.0292,Third,child,TRUE,1
male,28,35.5,First,man,TRUE,1
female,8,21.075,Third,child,FALSE,0
female,38,31.3875,Third,woman,FALSE,1
male,,7.225,Third,man,TRUE,0
male,19,263,First,man,FALSE,0
female,,7.8792,Third,woman,TRUE,1
male,,7.8958,Third,man,TRUE,0
male,40,27.7208,First,man,TRUE,0
female,,146.5208,First,woman,FALSE,1
female,,7.75,Third,woman,TRUE,1
male,66,10.5,Second,man,TRUE,0
male,28,82.1708,First,man,FALSE,0
male,42,52,First,man,FALSE,0
male,,7.2292,Third,man,TRUE,1
male,21,8.05,Third,man,TRUE,0
female,18,18,Third,woman,FALSE,0
female,14,11.2417,Third,child,FALSE,1
female,40,9.475,Third,woman,FALSE,0
female,27,21,Second,woman,FALSE,0
male,,7.8958,Third,man,TRUE,0
female,3,41.5792,Second,child,FALSE,1
female,19,7.8792,Third,woman,TRUE,1
male,,8.05,Third,man,TRUE,0
male,,15.5,Third,man,FALSE,0
female,,7.75,Third,woman,TRUE,1
male,,21.6792,Third,man,FALSE,0
female,18,17.8,Third,woman,FALSE,0
male,7,39.6875,Third,child,FALSE,0
male,21,7.8,Third,man,TRUE,0
female,49,76.7292,First,woman,FALSE,1
female,29,26,Second,woman,FALSE,1
male,65,61.9792,First,man,FALSE,0
male,,35.5,First,man,TRUE,1
female,21,10.5,Second,woman,TRUE,1
male,28.5,7.2292,Third,man,TRUE,0
female,5,27.75,Second,child,FALSE,1
